date,potential_evaporation_sum,runoff_sum,snow_depth,snowfall_sum,snowmelt_sum,temperature_2m,total_evaporation_sum,total_precipitation_sum
1956-01-01,-0.003716242577642056,0.00017183820895960768,0.001780008317084018,0.0,6.303131237797355e-05,276.0002510434106,-0.00047901651419833774,4.351138045421976e-07
1956-01-02,-0.005516105574633688,0.00017320395298975054,0.0009765625,0.0,8.680985870423967e-05,279.21197498281873,-0.0005543985417837582,1.4228382280093186e-06
1956-01-03,-0.0029532444007291,0.00017267512081096131,0.0009685447454844007,0.0,2.360821063882612e-05,276.34460582430404,-0.00044711623554942264,8.642672355563263e-07
1956-01-04,-0.0042319899219989,0.00017327500877317736,0.0006806405437534211,0.0,1.6247049243187868e-05,276.00626700160666,-0.0005635392495808736,1.297785843235033e-06
1956-01-05,-0.002752268206701295,0.00017422606498737058,-7.3453647229951e-24,0.0,2.8217281711904097e-05,277.91799671505083,-0.0004990761289113065,8.553265615773853e-07
1956-01-06,-0.0032255601608890236,0.00017465832100321707,-7.3453647229951e-24,0.0,1.7194557561858735e-05,279.5126367494847,-0.00047152059088493214,2.1457664729496173e-06
1956-01-07,-0.005349827321683638,0.00017493973028875144,-7.3453647229951e-24,3.6353694981542134e-08,9.523224458710119e-07,272.6893261730443,-0.0004921910859191751,8.930072665455889e-07
1956-01-08,-0.0033760737560457003,0.00017552767774741643,-7.3453647229951e-24,0.0,0.0,270.701164610998,-0.0004052322951247931,8.67117549482462e-07
1956-01-09,-0.002985807658709917,0.00017609886445826896,-7.3453647229951e-24,0.0,2.865782022867689e-07,270.33385623499686,-0.0002056647501947062,4.261732087229575e-07
1956-01-10,-0.0039294116529337885,0.00017670655779063413,-7.3453647229951e-24,8.093538787368877e-06,0.0,271.65143113640016,-0.0001366259851332369,8.91645847140865e-06
1956-01-11,-0.003219170070731973,0.0001774638744410623,0.00015454221828817735,4.942939052440851e-05,6.147126601443111e-07,273.75786510294233,-0.00024223270748049172,6.325600181984208e-05
1956-01-12,-0.003745256374132849,0.00017796466601110252,0.0009198368868021348,0.00010413785384010605,7.002040964042025e-06,272.87167129558367,-0.0003848395819587661,0.00010634242859114674
1956-01-13,-0.0033317318519543748,0.00017851763611356614,0.0009765625,0.0,1.3514594687225394e-05,272.5584115903758,-0.000425378496839691,2.1507617589122674e-06
1956-01-14,-0.002356143151402278,0.00017884735794881687,0.0009765625,0.0,1.2197475176922404e-05,273.2492397049444,-0.000243523968643645,8.553265615773853e-07
1956-01-15,-0.0031087917500528797,0.00017944590015755893,0.0010575418206075534,0.0001366091234539139,3.7372093922986195e-06,273.5400851593686,-0.00030180090986351273,0.000174307305128938
1956-01-16,-0.00409702543163143,0.0001793828699584861,0.0035340925612342648,0.0004446839635399568,0.0,268.54829452986536,-0.00016487053670417306,0.0004499707485971018
1956-01-17,-0.002004508400100402,0.00017975902028858956,0.004613415948275862,4.71036410194704e-05,7.827942105153904e-07,269.3293143921233,-5.652063659259252e-05,4.7907282174710193e-05
1956-01-18,-0.0010189883447633006,0.00018068321036979293,0.005606414845032843,0.0021712811991009616,2.8332459858094145e-05,271.5989360339536,-4.2730469825526187e-05,0.002173724016649971
1956-01-19,-0.0017299502843314992,0.00018044395987036198,0.07042381315852492,0.011143026417748291,-9.542615542858106e-10,272.1265264510065,-0.0002898260238404541,0.01114786683725561
1956-01-20,-0.0016324686495149863,0.00018754506052421236,0.08901277655907912,7.680215076076965e-06,0.0003455054192315965,268.73111714831333,-0.00038457396080830616,9.82990208946841e-06
1956-01-21,-0.001407158516702198,0.00021501438468939373,0.08188505960933226,3.899027071954387e-06,0.001708467639309824,269.85756321089093,-0.00021411691087317981,5.136589204793516e-06
1956-01-22,-0.001594974428464235,0.00018127695680251853,0.07195066087677889,9.503025922477737e-06,0.0,267.98804464585544,-0.00030986184777297414,1.0416875643771005e-05
1956-01-23,-0.002592867439114206,0.000181520831800251,0.06941023535851124,2.3848953701200946e-06,0.0,266.18331817100795,-0.00041910163654482435,3.66782898099745e-06
1956-01-24,-0.0020895896139990523,0.00018175007478748445,0.06702655694102355,0.0,0.0,266.2504894202305,-0.0003376246670074456,8.583068620282575e-07
1956-01-25,-0.0016815239695101146,0.00018193603344934526,0.08468632940784074,0.004582798564179581,0.0,269.4123950064607,-0.00037580964343594803,0.0045867301347289795
1956-01-26,-0.001525741039923651,0.00018812796752441108,0.09353452284739329,1.497511646430481e-06,0.0002964876243486781,266.05122559228494,-0.00036487506919697987,2.06868633793342e-06
1956-01-27,-0.0015216513807550442,0.00019060806883575493,0.09240535575311305,0.0005794752432012011,0.0004102870308119676,271.2110703368623,-0.00030031595654381914,0.0005822944837562345
1956-01-28,-0.0008309235175450643,0.0006936260778915707,0.07521361970614397,0.0,0.007071068507354641,278.6325853991914,0.00024903913553076234,0.007093317011502773
1956-01-29,-0.000850141929288216,0.0003619944227152858,0.02826098111658457,0.00015182610851986267,0.003047645348927071,277.150300362623,-0.00029059290604540477,0.004269283126360509
1956-01-30,-0.003610138088611547,0.000361714799611635,0.03887007389162562,0.0021679382801838894,0.0,269.5197708962978,-0.0008888039600305957,0.0051215449278886865
1956-01-31,-0.0026531532431275195,0.00018653750713235642,0.041909070111521625,0.0,7.82663917110863e-05,268.7877777091258,-0.00028481576224706446,2.152422894141637e-06
1956-02-01,-0.0022333626113893172,0.0008259047134756456,0.04805654975711549,0.003695516714027951,0.000271393466367706,272.6289707041857,-0.0003032320223393895,0.009684119477966192
