date,potential_evaporation_sum,runoff_sum,snow_depth,snowfall_sum,snowmelt_sum,temperature_2m,total_evaporation_sum,total_precipitation_sum
1956-01-01,-0.005229131076566973,1.860327920199491e-05,-7.3453647229951e-24,0.0,0.0,284.1151400774761,-0.0014324048369925978,4.351138045421976e-07
1956-01-02,-0.004350440355124452,1.8536388086327373e-05,-7.3453647229951e-24,0.0,0.0,285.187270081866,-0.0012920675142811782,4.410743663640915e-07
1956-01-03,-0.004257621744130676,1.846765894196632e-05,-7.3453647229951e-24,0.0,0.0,286.9979821315771,-0.001136887662670686,8.642672355563263e-07
1956-01-04,-0.007025160584680834,2.060147896737254e-05,-7.3453647229951e-24,0.0,0.0,286.83233303400567,-0.0016246030049702144,0.0009645377287215884
1956-01-05,-0.007870130503492733,1.8312969134242526e-05,-7.3453647229951e-24,0.0,0.0,285.8443190592851,-0.0015028191008297357,8.553265615773853e-07
1956-01-06,-0.004339329734247686,1.8217621395766476e-05,-7.3453647229951e-24,0.0,0.0,286.6260992601929,-0.001025890750966408,2.1457664729496173e-06
1956-01-07,-0.00465201484736892,1.8393350067642813e-05,-7.3453647229951e-24,0.0,2.7898649812269843e-09,290.4385475125082,-0.0008199267122188854,0.00011837555207336106
1956-01-08,-0.008324094313619421,1.809243851296177e-05,-7.3453647229951e-24,0.0,9.3542531723493e-10,285.20957766965626,-0.0012953580820744257,8.679739380568208e-07
1956-01-09,-0.006623702263254426,1.8013337635258743e-05,-7.3453647229951e-24,0.0,0.0,281.61882092424077,-0.0010712439038417414,4.261732087229575e-07
1956-01-10,-0.006160499437790084,1.7947365533937967e-05,-7.3453647229951e-24,0.0,0.0,283.48862332079375,-0.0009590148810904457,4.261732087229575e-07
1956-01-11,-0.006479991296314457,1.788513513388613e-05,-7.3453647229951e-24,0.0,0.0,284.7365864068926,-0.0008558328571167286,9.87756614920758e-07
1956-01-12,-0.003715534764239441,1.7840037787013114e-05,-7.3453647229951e-24,0.0,0.0,284.1185032064519,-0.0006028156284456211,9.971614586012971e-06
1956-01-13,-0.004462013127782796,1.7776592975145918e-05,-7.3453647229951e-24,0.0,0.0,283.69442107638946,-0.0006408506331530435,2.4620450469352875e-06
1956-01-14,-0.005260172000540511,1.7709340818127873e-05,-7.3453647229951e-24,0.0,0.0,283.80432675343434,-0.001002748156302826,1.2264114260215296e-06
1956-01-15,-0.0039252280401238255,1.7641268112585935e-05,-7.3453647229951e-24,0.0,0.0,284.42705407331687,-0.0007414571809611131,6.781839379533819e-07
1956-01-16,-0.005846015747948364,1.765715393200845e-05,-7.3453647229951e-24,0.0,8.861924058015127e-10,288.08366860377106,-0.0008525491532118835,4.7317393612518225e-05
1956-01-17,-0.00549923411943839,1.896458312803428e-05,-7.3453647229951e-24,0.0,1.1077405072518907e-09,290.6344921095256,-0.0012095474313928167,0.0007363137694707526
1956-01-18,-0.00634667769665235,1.7897016676512058e-05,-7.3453647229951e-24,0.0,5.087400848119794e-10,288.94941032510496,-0.001284666207623114,0.0002522267416856114
1956-01-19,-0.004147304443535826,2.074189123078065e-05,-7.3453647229951e-24,0.0,4.906880172863931e-09,292.54682735269466,-0.000808297943668481,0.0016386024095483846
1956-01-20,-0.004567293737428304,1.743554018667616e-05,-7.3453647229951e-24,0.0,0.0,289.9225316544812,-0.0013395272490736672,7.482480896640538e-05
1956-01-21,-0.003734496032351439,3.7462635187325495e-05,-7.3453647229951e-24,0.0,0.0,286.79264431027764,-0.0013878644087109797,0.006849659657586073
1956-01-22,-0.00511391001388365,1.7523437344555287e-05,-7.3453647229951e-24,0.0,2.4616455716708683e-10,291.49161486128526,-0.001391047997490425,0.00016346161578114398
1956-01-23,-0.0051065923293256545,1.7119990046328912e-05,-7.3453647229951e-24,0.0,4.455578484724271e-09,293.2946760146803,-0.0012690041763995187,3.0083802443835935e-06
1956-01-24,-0.004201901543245442,1.888771414231624e-05,-7.3453647229951e-24,0.0,2.4616455716708683e-10,293.4829639569253,-0.001396047735036995,0.0009039492858961833
1956-01-25,-0.004600557396065296,1.7137451318917292e-05,-7.3453647229951e-24,0.0,2.4616455716708683e-10,289.18510196422517,-0.0013841007413580553,7.67010845241719e-05
1956-01-26,-0.006059241255474511,1.69397975904826e-05,-7.3453647229951e-24,0.0,2.4616455716708683e-10,287.06837033175157,-0.001697106549458882,1.5565378373744531e-06
1956-01-27,-0.0058171274181504605,1.6844023166774126e-05,-7.3453647229951e-24,0.0,0.0,286.1508623114766,-0.0016015773466767718,1.7085412764572538e-06
